id,cust_text,reply_A,reply_B,better
g081,Aww damn @115888 I just realized I can't play my heavily curated Christmas playlist on the tv because you murdered the @127972 app. Thanks a ton.,Hey there! We hear you — thanks for sharing that. Your feedback has been noted and passed along to the team. We’re always looking to improve the experience across devices.,Hey! We hear you — we’re working to improve the Spotify app on Roku. Your feedback is being passed along to the right teams. Thanks for sharing!,B
g162,should be able to sort Albums by Recently Played. Yea Recently Played list is nice but having it in the albums screen would be cherry on top,Hey there! Thanks for the feedback — that’s a great idea! You can currently sort albums by recently played in the Albums screen. Let us know if you’re seeing any issues or have more suggestions!,Hey there! That's a great idea – thanks for sharing! You can show your support for the feature here: https://t.co/qb974jjD2Q,B
g054,ur new music playlist is mostly guff this week. Sakes 😩,"Hi! Our Curation team are independent and use taste, data, research, and trends to create playlists. If you'd like, we can help you explore what’s trending or share some music you might enjoy! 🎵",Hey! Thanks for the feedback – we appreciate you sharing that. We’re always working to improve the mix of music in your playlists. Let us know if there’s a specific type of music you’d like to hear more of!,T
g101,please please please please please please please please please can you add Leon by @40095 to your repertoire because it doesn’t get the recognition it deserves:(,"Hey there! Thanks for the love for Leon — we truly appreciate the support! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa",Hey there! We love hearing about music that deserves more attention — thanks for the support! You can share more about Leon by with our team via DM at support.com if you'd like to help us explore it further.,A
g188,hey @115888 can u make a feature to flip playlists so i don’t have to keep scrolling down past 300+ songs to find the one i just added 🙄🙄🙄,"Hey! We can see how that’d be handy. Thanks for the feedback — your suggestion has been noted 📝 For anything else, just let us know!",Hey! That’s a great point – we know how frustrating long playlists can be. You can vote for the idea here: https://t.co/W9QTCBhaB4. Thanks for the feedback!,B
g128,"Hey, @SpotifyCares love that you added the ability to like or dislike songs in Discover Playlists. Looking forward to seeing how this improves my list in the future.",Hey! Thanks for the kind words — we're glad you're enjoying the like/dislike feature. We'll keep your feedback in mind as we continue to improve your experience 📝,Hey there! So glad you're enjoying the new like/dislike feature! We're excited to see how it helps shape your Discover Weekly playlist in the future 🎶,B
g025,"Hey @115888 can you explain to me why every time Iclick on ""Come and get your love"" by redbone on my playlist Gloria Gaynor's ""I will survive"" plays? I've tried on three separate devices [link]",Hey there! Can you send us the song link? Just tap the three dots > Share > Copy Link. We'll take a closer look!,Hey! Can you send us the link to that song? We'll take a closer look. Just tap the three dots > Share > Copy Link.,T
g106,Spotify app on my iPhone and iPad aren’t working. Looks like other users are reporting problems. Please post an update.,Hey! Thanks for sharing — sounds like a lot of people are having issues. Can you try restarting the app or using a different browser on your device? Let us know how it goes!,Hey! Thanks for letting us know — we see many users are reporting issues right now. Can you let us know what’s happening exactly? We’ll keep an eye out for your message.,B
g178,can y'all add @24415 dedication im waiting😑,"Hey there! Just to be sure, which dedication are you referring to? We’d love to know so we can help you better!","Hey there! We’d love to have ’s dedication available, but we first need to confirm the content details. Let us know if you’d like to help us with that — we’ll look into it!",A
g053,Dear @115888 I’d really appreciate if you will also release the #MicDropRemix without Desiigner. Kthanks.,Hey! We’ll have it available to you as soon as it’s available to us: https://t.co/0i8GpimuDa,Hey there! Thanks for the feedback — we appreciate you sharing that! Your suggestion is noted and we’re always looking at new features. 📝,A
g098,.@115888 can you make shuffle stop sucking? thanks boo 😗,Hey there! We’ve made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od 😊,Hey! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od,T
g168,can you please add a sleep timer !!,Hey! A sleep timer is a great idea. Help make it happen by adding support here: https://t.co/pMmX7wXq24 😊,Hey! A sleep timer is a great idea! Help make it happen by adding support here: https://t.co/pMmX7wXq24,T
g143,needs to bring back Spotify DM's.,Hey there! We have more info about that idea here: https://t.co/W9ngDcByaX,"Hey! We hear you — Spotify DMs were part of the early experience, and we’re always listening to user feedback. Could you let us know more about what you’re missing from the current DM feature? We’ll pass that along to the right team 🎧",B
g175,"I need you guys to build a function that creates playlists for a VERY specific parts of Frank Zappa songs. In particular, ""Peaches en Regalia"" at 1:07-1:35. Thanks.","Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest 🎶","Hey there! We don't have a feature to create playlists for specific sections of songs yet, but we'll make sure your request is passed on to our team. Thanks for sharing! 🎶",B
g030,my spotify wont play anything it just keeps freezing help!,Hey! That's not right. Can you let us know what device and operating system you're using? We'll see what we can suggest,Hey! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted,B
g063,anything about India launch?,"Hey! We're launching regularly in countries around the world. If you haven't already, sign up here to be first to hear: https://t.co/XDwWzj7cLP","Hey! We're launching regularly in countries around the world. If you haven't already, sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂",T
g169,#repuatation is now on spotify 👏👏👏,Hey! So glad to hear 'Reputation' is now available on Spotify! Enjoy the album 🎶,Hey! That's awesome to hear! Enjoy the new release. 🎶,A
g120,"Very bummed that I am limited to the number of playlists I can download to my phone. That's all I listen to on the wonderful Bose sound system in my car. I pay, why can't I play? #Spotify is cramping my style! I love my Spotify, stop playing hard to get!","Hi there! To download more playlists, try adding a few new artists or songs to your library first. That can help unlock more download space. Let us know if you'd like help with that! 🎶","Hi there! We hear you — it’s great you love Spotify and your Bose system! To help with downloads, try checking your playlist settings or using the ""Download"" option directly in the app. Let us know if you need help with that!",B
g019,can I switch between Spotify premium accts on Google home devices with a voice command?,Hey there! This isn't currently possible on Google Home devices. We'll make sure to pass on your feedback so the team knows it's something you'd like to see! 🙌,"Hey there! Right now, you can’t switch between Spotify Premium accounts using voice commands on Google Home devices. We’ll pass this along to our team to see if it’s something we can support in the future!",T
g111,I keep getting an error occurred when searching for artists 😰,"Hey there! Could you let us know your device's make/model, operating system, and Spotify version? We'll see what we can suggest","Hey! Don’t worry, we’ve got you. Can you let us know what device and app version you're using? That will help us troubleshoot quickly 🔍",T
